,strike,ask,bid,impliedVolatility,type,maturityDate,maturity,optionPrice
100,27.0,4.65,4.1,0.4028380029296875,call,2020-11-20,0.746031746031746,4.375
101,29.0,2.59,2.4,0.2788158056640625,call,2020-11-20,0.746031746031746,2.495
102,30.0,2.85,2.2,0.36377589355468753,call,2020-11-20,0.746031746031746,2.5250000000000004
103,32.0,1.17,0.95,0.24976336181640624,call,2020-11-20,0.746031746031746,1.06
104,33.0,0.84,0.61,0.24073024902343748,call,2020-11-20,0.746031746031746,0.725
105,34.0,0.59,0.36,0.23389437988281248,call,2020-11-20,0.746031746031746,0.475
106,35.0,0.41,0.19,0.229499892578125,call,2020-11-20,0.746031746031746,0.3
107,37.0,0.32,0.12,0.2563550927734375,call,2020-11-20,0.746031746031746,0.22
108,38.0,0.33,0.17,0.2788158056640625,call,2020-11-20,0.746031746031746,0.25
109,13.0,0.0,,0.2500075,put,2020-11-20,0.746031746031746,0.0
110,16.0,,,0.0,put,2020-11-20,0.746031746031746,
111,18.0,0.35,0.15,0.5117236328125,put,2020-11-20,0.746031746031746,0.25
112,23.0,0.99,0.81,0.43628493408203123,put,2020-11-20,0.746031746031746,0.9
113,24.0,1.18,0.95,0.4204159521484375,put,2020-11-20,0.746031746031746,1.065
114,25.0,1.34,1.17,0.3957579956054688,put,2020-11-20,0.746031746031746,1.255
115,27.0,1.9,1.68,0.36914693359375,put,2020-11-20,0.746031746031746,1.79
116,28.0,2.22,2.03,0.3530338134765625,put,2020-11-20,0.746031746031746,2.125
117,29.0,2.61,2.4,0.34009448974609374,put,2020-11-20,0.746031746031746,2.505
118,30.0,3.0,2.88,0.32129584960937496,put,2020-11-20,0.746031746031746,2.94
119,32.0,4.15,3.9,0.3083565258789062,put,2020-11-20,0.746031746031746,4.025
120,33.0,0.0,0.0,1.0000000000000003e-05,put,2020-11-20,0.746031746031746,0.0
121,39.0,11.65,8.45,0.5852092260742188,put,2020-11-20,0.746031746031746,10.05
122,20.0,13.5,8.9,0.647464462890625,call,2021-01-15,0.9682539682539683,11.2
123,25.0,5.6,5.35,0.31592480957031244,call,2021-01-15,0.9682539682539683,5.475
124,26.0,6.05,11.15,0.7526880200195312,call,2021-01-15,0.9682539682539683,8.6
125,27.0,4.05,3.8,0.28443098388671867,call,2021-01-15,0.9682539682539683,3.925
126,28.0,11.65,9.05,1.0522508325195314,call,2021-01-15,0.9682539682539683,10.350000000000001
127,30.0,2.35,2.08,0.26758544921875,call,2021-01-15,0.9682539682539683,2.215
128,31.0,1.82,1.6,0.2536695727539063,call,2021-01-15,0.9682539682539683,1.71
129,32.0,1.42,1.18,0.24683370361328127,call,2021-01-15,0.9682539682539683,1.2999999999999998
130,33.0,0.89,0.45,0.21753712158203126,call,2021-01-15,0.9682539682539683,0.67
131,34.0,0.73,0.54,0.2243729907226562,call,2021-01-15,0.9682539682539683,0.635
132,35.0,0.55,0.33,0.22315229980468748,call,2021-01-15,0.9682539682539683,0.44000000000000006
133,36.0,0.64,0.31,0.2585523364257813,call,2021-01-15,0.9682539682539683,0.475
134,37.0,0.3,0.08,0.22095505615234373,call,2021-01-15,0.9682539682539683,0.19
135,38.0,0.0,0.0,0.062509375,call,2021-01-15,0.9682539682539683,0.0
136,39.0,0.25,0.0,0.24414818359375,call,2021-01-15,0.9682539682539683,0.125
137,40.0,0.25,0.05,0.2602613037109375,call,2021-01-15,0.9682539682539683,0.15
138,41.0,0.25,0.0,0.27539787109374997,call,2021-01-15,0.9682539682539683,0.125
139,42.0,0.25,0.0,0.29004616210937495,call,2021-01-15,0.9682539682539683,0.125
